simulation_name,sim_type,m_value,rep_index,overall_return,commit_return,n,n_repetitions
etc_standard,run,2000.0,12,0.0585,0.221125,10000,100
etc_standard,run,2000.0,13,-0.022,0.14325,10000,100
etc_standard,run,2000.0,14,0.0614,0.2875,10000,100
etc_standard,run,2000.0,15,-0.1876,-0.0575,10000,100
etc_standard,run,2000.0,16,0.0137,0.17175,10000,100
etc_standard,run,2000.0,17,-0.1345,-0.019375,10000,100
etc_standard,run,2000.0,18,0.0381,0.2405,10000,100
etc_standard,run,2000.0,19,0.0048,0.1885,10000,100
etc_standard,run,2000.0,20,-0.0539,0.075375,10000,100
etc_standard,run,2000.0,21,0.1142,0.27575,10000,100
etc_standard,run,2000.0,22,-0.0283,0.124875,10000,100
etc_standard,run,2000.0,23,-0.0965,0.0485,10000,100
etc_standard,run,2000.0,24,-0.0021,0.149125,10000,100
etc_standard,run,2000.0,25,0.0055,0.09775,10000,100
etc_standard,run,2000.0,26,-0.0503,0.106125,10000,100
etc_standard,run,2000.0,27,-0.0668,0.05375,10000,100
etc_standard,run,2000.0,28,0.0017,0.1615,10000,100
etc_standard,run,2000.0,29,0.0735,0.286,10000,100
etc_standard,run,2000.0,30,0.1411,0.312,10000,100
etc_standard,run,2000.0,31,0.0203,0.165625,10000,100
etc_standard,run,2000.0,32,-0.0322,0.137125,10000,100
etc_standard,run,2000.0,33,0.2018,0.389875,10000,100
etc_standard,run,2000.0,34,0.2672,0.46,10000,100
etc_standard,run,2000.0,35,0.0877,0.244625,10000,100
etc_standard,run,2000.0,36,-0.0715,0.07175,10000,100
etc_standard,run,2000.0,37,0.0172,0.179875,10000,100
etc_standard,run,2000.0,38,-0.1341,0.029625,10000,100
etc_standard,run,2000.0,39,-0.0076,0.160375,10000,100
etc_standard,run,2000.0,40,-0.0126,0.220875,10000,100
etc_standard,run,2000.0,41,0.231,0.43,10000,100
etc_standard,run,2000.0,42,-0.0647,0.0785,10000,100
etc_standard,run,2000.0,43,0.0885,0.2095,10000,100
etc_standard,run,2000.0,44,0.059,0.2135,10000,100
etc_standard,run,2000.0,45,0.1387,0.342375,10000,100
etc_standard,run,2000.0,46,0.022,0.158375,10000,100
etc_standard,run,2000.0,47,-0.1458,-0.019375,10000,100
etc_standard,run,2000.0,48,0.0398,0.18375,10000,100
etc_standard,run,2000.0,49,0.0632,0.247125,10000,100
etc_standard,run,2000.0,50,-0.0002,0.181625,10000,100
etc_standard,run,2000.0,51,0.0142,0.16575,10000,100
etc_standard,run,2000.0,52,-0.0473,0.077125,10000,100
etc_standard,run,2000.0,53,-0.0374,0.11225,10000,100
etc_standard,run,2000.0,54,0.136,0.307625,10000,100
etc_standard,run,2000.0,55,0.1043,0.2925,10000,100
etc_standard,run,2000.0,56,0.0146,0.113,10000,100
etc_standard,run,2000.0,57,0.0097,0.129,10000,100
etc_standard,run,2000.0,58,0.0921,0.25325,10000,100
etc_standard,run,2000.0,59,-0.0447,0.091625,10000,100
etc_standard,run,2000.0,60,0.1782,0.404625,10000,100
etc_standard,run,2000.0,61,-0.1098,0.042125,10000,100
etc_standard,run,2000.0,62,-0.2131,-0.126625,10000,100
etc_standard,run,2000.0,63,-0.1423,-0.003,10000,100
etc_standard,run,2000.0,64,-0.1438,-0.03125,10000,100
etc_standard,run,2000.0,65,0.0962,0.24575,10000,100
etc_standard,run,2000.0,66,0.1092,0.268625,10000,100
etc_standard,run,2000.0,67,-0.1325,0.0165,10000,100
etc_standard,run,2000.0,68,-0.0582,0.08975,10000,100
etc_standard,run,2000.0,69,-0.1409,-0.02325,10000,100
etc_standard,run,2000.0,70,0.1027,0.281,10000,100
etc_standard,run,2000.0,71,0.1187,0.29975,10000,100
etc_standard,run,2000.0,72,0.0727,0.26,10000,100
etc_standard,run,2000.0,73,-0.0978,0.0405,10000,100
etc_standard,run,2000.0,74,0.1193,0.320875,10000,100
etc_standard,run,2000.0,75,0.0031,0.13425,10000,100
etc_standard,run,2000.0,76,-0.1279,-0.027125,10000,100
etc_standard,run,2000.0,77,0.0352,0.23075,10000,100
etc_standard,run,2000.0,78,0.0933,0.2795,10000,100
etc_standard,run,2000.0,79,0.0021,0.125625,10000,100
etc_standard,run,2000.0,80,0.029,0.244875,10000,100
etc_standard,run,2000.0,81,0.1465,0.326,10000,100
etc_standard,run,2000.0,82,0.1388,0.283875,10000,100
etc_standard,run,2000.0,83,0.1785,0.378875,10000,100
etc_standard,run,2000.0,84,0.1518,0.278875,10000,100
etc_standard,run,2000.0,85,0.1016,0.30025,10000,100
etc_standard,run,2000.0,86,-0.1347,-0.037125,10000,100
etc_standard,run,2000.0,87,-0.0602,0.09775,10000,100
etc_standard,run,2000.0,88,-0.1343,-0.007875,10000,100
etc_standard,run,2000.0,89,0.0661,0.26425,10000,100
etc_standard,run,2000.0,90,0.0529,0.179125,10000,100
etc_standard,run,2000.0,91,0.0241,0.173375,10000,100
etc_standard,run,2000.0,92,0.0533,0.19825,10000,100
etc_standard,run,2000.0,93,0.0486,0.236875,10000,100
etc_standard,run,2000.0,94,-0.0161,0.153375,10000,100
etc_standard,run,2000.0,95,0.0922,0.25825,10000,100
etc_standard,run,2000.0,96,0.0166,0.15,10000,100
etc_standard,run,2000.0,97,0.0706,0.278875,10000,100
etc_standard,run,2000.0,98,-0.0985,0.0795,10000,100
etc_standard,run,2000.0,99,0.0514,0.218625,10000,100
etc_standard,run,4000.0,0,-0.0464,0.3568333333333333,10000,100
etc_standard,run,4000.0,1,-0.1923,0.1501666666666666,10000,100
etc_standard,run,4000.0,2,-0.2005,0.1235,10000,100
etc_standard,run,4000.0,3,-0.02,0.3796666666666666,10000,100
etc_standard,run,4000.0,4,0.0026,0.3155,10000,100
etc_standard,run,4000.0,5,-0.0048,0.4815,10000,100
etc_standard,run,4000.0,6,-0.124,0.1895,10000,100
etc_standard,run,4000.0,7,-0.17,0.1228333333333333,10000,100
etc_standard,run,4000.0,8,-0.0351,0.3755,10000,100
etc_standard,run,4000.0,9,-0.1098,0.2103333333333333,10000,100
etc_standard,run,4000.0,10,-0.1683,0.0851666666666666,10000,100
etc_standard,run,4000.0,11,-0.1357,0.2703333333333333,10000,100
etc_standard,run,4000.0,12,0.004,0.3828333333333333,10000,100
etc_standard,run,4000.0,13,-0.0538,0.3551666666666667,10000,100
etc_standard,run,4000.0,14,-0.1633,0.1746666666666666,10000,100
etc_standard,run,4000.0,15,-0.025,0.2738333333333333,10000,100
etc_standard,run,4000.0,16,0.0282,0.4425,10000,100
etc_standard,run,4000.0,17,-0.185,0.0798333333333333,10000,100
etc_standard,run,4000.0,18,-0.0478,0.3155,10000,100
etc_standard,run,4000.0,19,-0.1167,0.1881666666666666,10000,100
etc_standard,run,4000.0,20,-0.0353,0.3378333333333333,10000,100
etc_standard,run,4000.0,21,-0.0467,0.3506666666666667,10000,100
etc_standard,run,4000.0,22,-0.0554,0.2945,10000,100
etc_standard,run,4000.0,23,-0.045,0.3433333333333333,10000,100
etc_standard,run,4000.0,24,-0.1968,0.113,10000,100
etc_standard,run,4000.0,25,-0.1493,0.134,10000,100
etc_standard,run,4000.0,26,-0.1142,0.1381666666666666,10000,100
etc_standard,run,4000.0,27,-0.1696,0.1506666666666666,10000,100
etc_standard,run,4000.0,28,-0.1829,0.1348333333333333,10000,100
etc_standard,run,4000.0,29,-0.0689,0.2663333333333333,10000,100
etc_standard,run,4000.0,30,-0.0901,0.2246666666666666,10000,100
etc_standard,run,4000.0,31,-0.1609,0.1945,10000,100
etc_standard,run,4000.0,32,-0.0813,0.2073333333333333,10000,100
etc_standard,run,4000.0,33,-0.026,0.3473333333333333,10000,100
etc_standard,run,4000.0,34,-0.2126,0.0651666666666666,10000,100
etc_standard,run,4000.0,35,-0.1778,0.1556666666666666,10000,100
etc_standard,run,4000.0,36,-0.0741,0.2988333333333333,10000,100
etc_standard,run,4000.0,37,-0.1383,0.1913333333333333,10000,100
etc_standard,run,4000.0,38,-0.1249,0.2078333333333333,10000,100
etc_standard,run,4000.0,39,-0.051,0.3325,10000,100
etc_standard,run,4000.0,40,-0.0579,0.2751666666666666,10000,100
etc_standard,run,4000.0,41,-0.0971,0.2971666666666667,10000,100
etc_standard,run,4000.0,42,-0.1815,0.0328333333333333,10000,100
etc_standard,run,4000.0,43,-0.1224,0.2406666666666666,10000,100
etc_standard,run,4000.0,44,-0.0642,0.2248333333333333,10000,100
etc_standard,run,4000.0,45,-0.1374,0.1873333333333333,10000,100
